YBCNo	Block	Gene_Pool	Part_of_ADP	ID	Country	Source	Genotype	Genotype_edited	Seed_colors	Market_class	IDF	SDF	IDFplusSDF	Raffinose	Stachyose	Verbascose	TotalOligos	ConfirmedTDF	Cooking_time	Fe_conc	Fe_bio	Cooking_class	Dry_seed30	Soaked_seed30	Cooked_seed25	HSW_Dry
Control-04	1	Mesoamerica	n	Merlin	United States	MSU	Merlin (field control)	Merlin (navy)	White	White_Beige	19.87203746	3.422177421	23.29421488	0.208981357	1.88884094	0.535189561	2.633011858	25.92722674	24.53333333	73.67	54	2	5.835	11.102	10.978	19.45
Control-04	2	Mesoamerica	n	Merlin	United States	MSU	Merlin (field control)	Merlin (navy)	White	White_Beige	21.67899564	4.01671081	25.69570645	0.19933398	1.60111302	0.345615951	2.146062952	27.8417694	22.4	79.72	60	2	5.831	11.189	11.048	19.43666667
YBC096	1	Jalisco_Durango	n	W618676	Albania	US GRIN	Al 146	Al 146	White	White_Beige	22.06779349	6.020635637	28.08842913	0.320390915	1.881997383	0.313707996	2.516096293	30.60452542	22.86666667	70.22	122	2	14.426	29.293	30.074	48.08666667
YBC096	2	Jalisco_Durango	n	W618676	Albania	US GRIN	Al 146	Al 146	White	White_Beige	20.4525863	7.320103062	27.77268937	0.388129589	1.762284979	0.358403954	2.508818521	30.28150789	28.08333333	57.99	108	2	12.354	24.829	24.679	41.18
YBC160	1	Admix	y	ADP0255	Mexico	CIAT collection	G10994	G10994	Baige	White_Beige	22.04240025	6.728233309	28.77063356	0.438729346	2.012529637	0.352422876	2.80368186	31.57431542	43.45	58.7	45	3	14.618	27.512	27.336	48.72666667
YBC160	2	Admix	y	ADP0255	Mexico	CIAT collection	G10994	G10994	Baige	White_Beige	21.00123431	7.485646302	28.48688061	0.324365099	1.768422232	0.360573036	2.453360367	30.94024098	52.33333333	47.94	46	3	15.39	27.559	29.453	51.3
YBC161	1	Andean	y	ADP0303	Hungary	CIAT collection	G17913	G17913	Baige	White_Beige	18.09757693	4.72942864	22.82700557	0.259248128	2.727055661	0.377397894	3.363701683	26.19070725	20.71666667	69.43	32	1	20.969	39.801	38.518	69.89666667
YBC161	2	Andean	y	ADP0303	Hungary	CIAT collection	G17913	G17913	Baige	White_Beige	14.72196106	6.658366568	21.38032763	0.195994177	2.919544105	0.412955142	3.528493424	24.90882105	22.21666667	73.14	50	1	20.691	40.993	37.741	68.97
YBC134	1	Admix	y	ADP0037	Tanzania	US GRIN	W616488	W616488	Brown	Brown	17.57176924	5.811714328	23.38348357	0.298205607	1.930408745	0.42578263	2.654396982	26.03788055	21.53333333	69.82	26	1	17.473	34.869	35.627	58.24333333
YBC134	2	Admix	y	ADP0037	Tanzania	US GRIN	W616488	W616488	Brown	Brown	17.60152209	5.60767982	23.20920191	0.16758789	2.30070533	0.351752887	2.820046108	26.02924802	18.93333333	76.18	27	1	17.662	35.886	33.598	58.87333333
YBC133	1	Andean	y	ADP0027	Tanzania	US GRIN	Incomparable	Incomparable TZ-27	Brown	Brown	20.58144421	7.043090692	27.62453491	0.195854018	2.602729843	0.459772625	3.258356486	30.88289139	27.86666667	58.02	15	3	13.861	27.963	28.7	46.20333333
YBC133	2	Andean	y	ADP0027	Tanzania	US GRIN	Incomparable	Incomparable TZ-27	Brown	Brown	21.01162855	7.277701715	28.28933026	0.157088263	2.593507003	0.431072423	3.181667689	31.47099795	37.16666667	65.15	14	3	12.90967742	26.32354839	26.644	43.03225806
Control-07	1	Admix	y	ADP0434 	Puerto Rico	 Univ. Puerto Rico	PR0737-1 (field control)	PR0737-1	Red Mottled	Red	20.38173678	5.830340801	26.21207758	0.166703147	2.079105353	0.441070658	2.686879158	28.89895674	41.1	80.53	16	3	12.298	24.475	22.827	40.99333333
Control-07	2	Admix	y	ADP0434 	Puerto Rico	 Univ. Puerto Rico	PR0737-1 (field control)	PR0737-1	Red Mottled	Red	19.59010251	4.83122097	24.42132348	0.192360877	1.772062812	0.406673449	2.371097138	26.79242062	39.11666667	76.06	28	3	12.913	25.582	24.254	43.04333333
Control-05	1	Andean	y	Red Hawk	United States	MSU	Red Hawk (field control)	Red Hawk	Red Kidney	Red	17.05441412	6.878392213	23.93280633	0.327914317	2.758878142	0.508292804	3.595085263	27.52789159	32.25	75.49	57	3	17.799	36.048	32.704	59.33
Control-05	2	Andean	y	Red Hawk	United States	MSU	Red Hawk (field control)	Red Hawk	Red Kidney	Red	19.98717432	6.494560526	26.48173484	0.238009408	2.092792745	0.389199911	2.720002065	29.20173691	28.6	70.25	29	3	17.574	35.583	32.759	58.58
